500.756183,2499.376843
499.320233,2495.560195
507.569207,2398.581532
499.330019,2245.099175
508.538906,1889.902840
746.794420,2179.482174
1010.203394,2176.892226
1069.351180,1710.108616
1148.103130,1504.863530
1785.787059,1557.439420
2098.319354,1629.479689
1733.225789,1318.601259
2121.613294,1549.464318
1155.697397,792.494399
2142.170207,1440.353236
2318.462507,1522.458498
2281.171962,1311.092865
1972.931552,1160.741743
1912.732659,1056.998138
2405.418943,1304.428078
2073.498183,1095.899230
2271.409521,1098.114575
2271.409521,1098.114575
1892.432403,867.089623
2173.148512,976.232471
2239.351616,951.431925
2239.351616,951.431925
