500.456012,2499.576567
500.583057,2499.487065
500.756183,2499.376843
500.992422,2490.220661
501.366216,2489.074005
501.708092,2488.459402
504.626492,2411.174279
505.343711,2405.105891
505.814437,2405.098917
507.569207,2398.581532
516.158410,2381.537082
521.716217,2377.362894
528.794520,2342.410670
529.921917,2296.969534
611.369641,2240.417175
616.892257,2235.883611
649.587815,2233.952357
679.480609,2229.380449
751.848370,2199.291604
818.856630,2197.995079
819.927513,2185.176433
1010.203394,2176.892226
1049.216244,2172.826847
1052.111781,2161.643700
1070.049977,2154.398891
1077.995381,2141.548748
1085.644949,2128.016948
1131.701866,2105.102119
1181.721114,2066.991382
1187.112464,2065.767162
1189.070726,2048.748549
1200.220451,2014.856932
1292.934205,1941.350897
1334.176839,1939.006335
1348.797998,1906.962149
1384.903944,1881.362945
1394.096755,1804.147986
1538.715300,1787.383530
1616.614372,1735.927341
1769.312643,1718.957521
1906.663841,1685.077830
1961.144909,1667.380009
2072.255326,1639.967287
2098.319354,1629.479689
2121.279422,1604.581334
2282.896591,1568.977232
2316.500810,1561.336237
2348.535632,1558.991233
2385.108109,1346.728954
2392.916774,1344.008566
2405.418943,1304.428078
